transaction_id,customer_id,card_id,merchant_id,txn_ts,amount,currency,mcc,status,is_refund,channel
d2559788-4b61-4f16-9951-458535e0d892,897487af-3e6c-4f8f-89da-ac74631e4c79,8de40aa1-6731-416b-898c-c526e312d353,0a494e75-fb7b-4662-aa81-7f4617e1e9c6,2025-09-01 23:31:48,277.17,KRW,7011,approved,false,online
b36acaab-5507-45b0-99af-b01f3e410a12,dbfe7773-b810-46f5-982d-553803dddfbc,0384b4cc-09c5-432d-910e-e2bc244ea2e7,e9d3d327-cdcc-472c-8d1a-1b7b772a8dd9,2025-09-01 12:45:00,135.44,KRW,4121,approved,false,mobile
bfd770ab-8983-4977-b00c-12d0735ca7ed,b766c6b8-54cb-49ab-a6cd-eeba410d564a,8f0be67e-e59b-4365-9df1-1a73e8620f9d,1ba4d43d-573d-4d3f-81fe-6c424328c3ab,2025-09-01 05:18:51,278.73,KRW,5812,declined,false,mobile
074ff708-1cdd-41e3-97aa-728febb3b66b,82475ee3-c557-4591-ae98-6c7579193561,0b774956-f107-43da-8a5e-09cccc145c83,0d51139c-48c4-4eb9-b9e0-679e425a150c,2025-09-01 03:42:28,283.11,KRW,7011,declined,true,mobile
f87f4d2f-6ca2-45eb-bef3-e074e412e7b8,3d0056c8-b12a-4dd5-9250-540857d60aab,292040e4-73a8-4662-8fff-b729fdc6a6e3,305b5bf8-3e8a-464a-83a8-310d67b2bfaa,2025-09-01 13:19:59,50.25,KRW,5411,declined,false,pos
7fabdcad-2411-4265-9d45-330b373110cd,3d256e4b-fb90-422f-a0b3-f8a40e9ab047,d60a187a-3f61-4be6-9b8d-953e4639408a,dd41b0ec-001c-4335-89d9-e5433ec3e1cb,2025-09-01 15:02:36,35.38,KRW,5999,approved,false,online
b0639ef5-ac28-4119-9b17-0744274ee97e,d8530a6f-f7b4-4863-91f0-6493baa1ec81,ef3b2f6b-3db2-4b03-8e93-5791b93410bf,cb13d5c4-8a96-4832-8cb1-300b2656a437,2025-09-01 10:42:18,52.37,KRW,5812,approved,true,mobile
f5e3e82d-b755-4eaa-8d5b-6807b69e4dae,acb76d91-9a09-459a-8f47-0250f1c718dc,bc9b9443-7991-418d-9c14-56928a6635fc,9310a04f-5033-45a4-ae69-e07651767e84,2025-09-01 23:57:14,265.65,KRW,5812,approved,false,online
2516ebad-6053-42c1-a5bb-a1c58c150a7c,0fe4df99-40b8-4747-b9ba-b697c2d75e29,219a2128-6fa7-4464-90f1-26e43b629aee,5387dddb-6f62-4480-8bbf-87015c37c9a7,2025-09-01 17:21:57,20.68,KRW,5999,approved,false,mobile
145fcdc5-121c-469e-a112-50274b437881,9c2a2e7e-9528-4486-8f32-552de91ddb4a,b2542583-9a22-4c81-93cb-1b6b72cc803b,8f083658-f7b5-4958-887d-eabfbf3306e5,2025-09-01 22:42:51,186.03,KRW,7011,approved,false,pos
df9cc68d-e118-4ba7-9ce5-1e79a7316739,2e07c209-60e5-4f21-9724-b4c8579c6247,9a85fd85-595f-492d-85e0-40064e7dfb1b,8d7292f5-d4d6-4ed8-ba2e-63977c3b6bd7,2025-09-01 00:38:29,120.29,KRW,5812,approved,false,pos
e1790bd3-087e-4143-b4c8-0d84e32a6953,eafb2bb6-c3be-477a-9814-d397136561d2,395c7d16-402e-4ab2-9501-36f58ccf3484,1b5d83ba-1999-4acb-b86e-b7b936ac7f64,2025-09-01 17:51:21,218.59,KRW,5999,declined,false,mobile
2731f166-5307-4d8e-a374-6f2cda93a9aa,c12a3747-d9ea-4c99-be1e-6c2f7553e25d,6ff956fb-025e-4b7c-8b63-e81e07908313,0d88fb1b-4886-43fb-a50e-b355f82d9c88,2025-09-01 03:40:36,62.23,KRW,5411,approved,true,online
9b199bb7-8537-453f-b377-885a4edcaf13,746ea210-01ee-4af3-8aea-abe49fda2df8,78410e45-2517-4ee2-a5d8-cf79844843ec,59c490bc-f35e-4e1f-a65a-2f717253d83e,2025-09-01 16:01:40,175.60,KRW,5812,declined,false,mobile
5e2708b8-3e5d-4e15-964f-a806d9e3d32c,6053e7f0-b651-4e8b-911a-c3f332790e50,bfb61dd7-5664-4ea3-ab2b-4b4310813975,1ba4d43d-573d-4d3f-81fe-6c424328c3ab,2025-09-01 11:57:57,141.71,KRW,7011,declined,false,online
e13b30f0-48ef-407f-8359-299031bf32ca,93199cd5-5dce-476b-9455-7e7c6e5ea0bb,78adb908-b5fc-47e1-8696-3c37243ae9b9,8403104a-e6c5-4d49-a7e5-2cc5aabd427f,2025-09-01 04:53:56,5.09,KRW,5411,approved,true,mobile
a2b78871-a706-4d17-8f81-8f414c853367,1a8fbe4e-794e-4340-81fb-863e692e597a,16661e49-7b63-40e1-9aa8-5678ba32c3f9,9979612f-98fd-49f5-9d8e-032206c7a735,2025-09-01 06:04:49,203.39,KRW,5812,approved,false,pos
08f42063-ab44-4b85-88df-5b355d09c2d6,1dfa244e-5925-4097-8f4f-f1bddc9183cd,2fc36f42-7ba8-44f0-aaed-308e1b7390e2,2ac15acc-b83b-448a-8a20-ccaac969d153,2025-09-01 19:35:45,299.50,KRW,7011,approved,false,pos
691c00ca-14f2-49c7-ad78-8d01162d5743,c54cccca-e040-4497-96a4-86c46718347e,f510f8cc-e873-48a5-aae4-0fdc9df3925a,b9f70136-1e7a-4989-a7c0-770b9f99e3b7,2025-09-01 16:57:11,126.43,KRW,4121,approved,true,online
c317bf86-3ab0-4c72-9c89-999ffdc5a177,8fc8d2c9-5c32-460c-bf31-465e0c5fe3fc,f1ddb124-e669-4d50-be2c-0acaede3e694,e0da6263-243d-410e-a9c1-ddccb46dc5f5,2025-09-01 19:57:46,46.68,KRW,5812,approved,false,pos
42e1d829-b959-442e-b4db-57f1350bf3ff,36d260ed-dcee-4506-ae52-c23b26c756c2,473d49e0-ac45-4a3e-9e3e-cd52b88b67e7,09a614f4-7049-44aa-9c3a-566f00016092,2025-09-01 17:02:44,103.07,KRW,5812,approved,false,pos
45ff2bbf-5ab4-41a4-bc5f-17299384b990,85f60673-47f0-41b7-91c8-0a204d884e14,ba6e152d-ed14-4684-a43d-fa6fa293791c,f574cd9f-ea40-4d78-af4a-8ca2803f0e2d,2025-09-01 22:47:24,48.06,KRW,5999,approved,false,pos
bad37e69-b542-475a-99f1-e7584ca56dda,e6dd3a67-76d5-4caf-ba4c-e3f405225cac,ca53dfe8-ddcd-4396-8562-184af86e2dce,bd8c4970-7cb8-4ae1-a02d-6218e871f974,2025-09-01 21:49:30,170.26,KRW,4121,approved,false,online
